onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
11.258	0	right	66.6666666667	right_hand.png	2.0	56290.0	1	1	left	0	-19.6
16.2284	0	left	66.6666666667	right_hand.png	1.0	81142.0	1	2	left	0	-23.6
21.1154	0	right	133.33333333299998	left_hand.png	2.0	105577.0	1	3	right	0	-21.0
25.886	0	left	100.0	left_hand.png	1.0	129430.0	1	4	right	0	-10.8
30.7102	0	right	166.66666666700002	right_hand.png	2.0	153551.0	1	5	left	0	-15.8
35.3262	0	left	33.3333333333	left_hand.png	1.0	176631.0	1	6	right	0	-23.8
40.0134	0	right	150.0	right_hand.png	2.0	200067.0	1	7	left	0	-0.6
44.9172	0	right	183.33333333299998	left_hand.png	2.0	224586.0	1	8	right	0	-14.8
49.804	0	left	116.666666667	left_hand.png	1.0	249020.0	1	9	right	0	-12.0
54.4574	0	right	83.3333333333	right_hand.png	2.0	272287.0	1	10	left	0	-6.2
59.1114	0	right	116.666666667	right_hand.png	2.0	295557.0	1	11	left	0	-26.6
63.9312	0	left	100.0	left_hand.png	1.0	319656.0	1	12	right	0	-13.0
68.5684	0	right	33.3333333333	left_hand.png	2.0	342842.0	1	13	right	0	-11.6
73.27199999999998	0	right	83.3333333333	right_hand.png	2.0	366360.0	1	14	left	0	-30.4
78.2092	0	left	166.66666666700002	right_hand.png	1.0	391046.0	1	15	left	0	-26.8
82.7832	0	right	33.3333333333	right_hand.png	2.0	413916.0	1	16	left	0	-16.8
87.3334	0	right	16.6666666667	right_hand.png	2.0	436667.0	1	17	left	0	-37.4
96.173	0	left	150.0	left_hand.png	1.0	480865.0	1	18	right	1	-19.4
100.8262	0	right	116.666666667	right_hand.png	2.0	504131.0	1	19	left	1	-39.0
105.6968	0	right	150.0	right_hand.png	2.0	528484.0	1	20	left	1	-18.2
110.4004	0	left	66.6666666667	left_hand.png	1.0	552002.0	1	21	right	1	-13.2
115.0872	0	left	150.0	right_hand.png	1.0	575436.0	1	22	left	1	-17.2
119.778	0	left	100.0	right_hand.png	1.0	598890.0	1	23	left	1	-46.8
124.411	0	right	83.3333333333	right_hand.png	2.0	622055.0	1	24	left	1	-20.6
129.0146	0	left	66.6666666667	right_hand.png	1.0	645073.0	1	25	left	1	-16.2
133.651	0	right	100.0	left_hand.png	2.0	668255.0	1	26	right	1	6.6
138.2046	0	left	16.6666666667	left_hand.png	1.0	691023.0	1	27	right	1	-15.8
142.75799999999995	0	right	16.6666666667	left_hand.png	2.0	713790.0	1	28	right	1	-12.4
147.412	0	right	116.666666667	right_hand.png	2.0	737060.0	1	29	left	1	-7.2
152.0154	0	left	66.6666666667	left_hand.png	1.0	760077.0	1	30	right	1	-28.2
156.6684	0	right	50.0	left_hand.png	2.0	783342.0	1	31	right	1	3.6
161.293	0	right	83.3333333333	right_hand.png	2.0	806465.0	1	32	left	1	-3.4
166.0466	0	right	116.666666667	left_hand.png	2.0	830233.0	1	33	right	1	-5.0
170.696	0	right	116.666666667	right_hand.png	2.0	853480.0	1	34	left	1	-2.0
175.38299999999995	0	right	150.0	right_hand.png	2.0	876915.0	1	35	left	1	0.2
180.0572	0	left	133.33333333299998	left_hand.png	1.0	900286.0	1	36	right	1	-12.4
184.6234	0	left	33.3333333333	right_hand.png	1.0	923117.0	1	37	left	1	-21.8
193.9304	0	left	166.66666666700002	right_hand.png	1.0	969652.0	1	38	left	2	-36.0
198.5212	0	right	50.0	right_hand.png	2.0	992606.0	1	39	left	2	-18.8
203.1044	0	right	50.0	left_hand.png	2.0	1015522.0	1	40	right	2	6.0
207.7914	0	right	150.0	right_hand.png	2.0	1038957.0	1	41	left	2	2.0
212.428	0	right	100.0	left_hand.png	2.0	1062140.0	1	42	right	2	-24.8
217.1152	0	right	150.0	left_hand.png	2.0	1085576.0	1	43	right	2	-27.2
221.7686	0	left	116.666666667	right_hand.png	1.0	1108843.0	1	44	left	2	4.2
226.4556	0	left	150.0	left_hand.png	1.0	1132278.0	1	45	right	2	1.0
231.176	0	left	183.33333333299998	left_hand.png	1.0	1155880.0	1	46	right	2	-33.6
235.8628	0	left	150.0	right_hand.png	1.0	1179314.0	1	47	left	2	-10.0
240.4832	0	left	83.3333333333	left_hand.png	1.0	1202416.0	1	48	right	2	-7.6
245.0708	0	left	50.0	right_hand.png	1.0	1225354.0	1	49	left	2	-27.6
249.7108	0	left	100.0	left_hand.png	1.0	1248554.0	1	50	right	2	-8.4
258.73400000000004	0	right	166.66666666700002	right_hand.png	2.0	1293670.0	1	51	left	3	-16.8
263.454	0	right	183.33333333299998	left_hand.png	2.0	1317270.0	1	52	right	3	-4.4
268.0708	0	left	83.3333333333	right_hand.png	1.0	1340354.0	1	53	left	3	-13.2
272.6908	0	right	83.3333333333	left_hand.png	2.0	1363454.0	1	54	right	3	-2.2
281.998	0	right	100.0	left_hand.png	2.0	1409990.0	1	55	right	4	-2.6
286.6678	0	left	133.33333333299998	left_hand.png	1.0	1433339.0	1	56	right	4	-24.6
291.272	0	right	66.6666666667	left_hand.png	2.0	1456360.0	1	57	right	4	-20.8
295.942	0	right	133.33333333299998	right_hand.png	2.0	1479710.0	1	58	left	4	-6.0
